farm,type,date,count.before,count.after,rel.count,prev.emb,treated.again,day
Cypress Harbour,slice,2010-02-23,0.46,0.0333333333333333,0.0724637681159419,1,0,53
Cecil Island,slice,2010-03-05,0.05,0,0,0,0,63
Burdwood,slice,2011-01-27,1.33,0.133333333333333,0.100250626566416,0,0,391
Burdwood,slice,2012-02-08,NA,0.0857142857142857,NA,NA,0,768
Sir Edmund Bay,slice,2013-03-26,1,0.279166666666667,0.279166666666667,0,0,1180
Cecil Island,slice,2013-06-02,4.38611111111111,0.425,0.0968967701076631,0,0,1248
Burdwood,slice,2013-11-12,5.01666666666667,0.025,0.00498338870431893,0,0,1411
Sir Edmund Bay,slice,2015-03-15,3.24166666666667,0.0166666666666667,0.0051413881748072,0,0,1899
Cecil Island,slice,2015-04-15,6.6375,0.116666666666667,0.0175768989328312,1,0,1930
Burdwood,slice,2015-05-12,4.34285714285714,0.15,0.0345394736842106,0,0,1957
Burdwood,slice,2017-01-16,1.85555555555556,0.201680672268908,0.10869018265989,0,0,2572
Sir Edmund Bay,slice,2017-01-31,1.91111111111111,0.177777777777778,0.0930232558139537,0,0,2587
Cypress Harbour,slice,2017-02-12,2.47777777777778,0.193333333333333,0.0780269058295962,0,0,2599
Burdwood,slice,2019-04-04,1.46666666666667,0.111111111111111,0.0757575757575755,0,0,3380
Sir Edmund Bay,slice,2019-04-10,1.29259259259259,0.3,0.232091690544413,0,0,3386
Cypress Harbour,slice,2019-05-16,0.766666666666667,0.466666666666667,0.608695652173913,1,0,3422
Cypress Harbour,slice,2020-02-11,0.670887096774194,0.159259259259259,0.23738608183854,1,0,3693
Cypress Harbour,slice,2021-01-26,0.075,0.497882653061224,6.63843537414966,1,0,4043
Sir Edmund Bay,slice,2021-02-11,0.307692307692308,0.388095238095238,1.26130952380952,0,0,4059
Doctor Islets,slice,2010-12-31,0.383333333333333,0,0,1,0,364
Doctor Islets,slice,2013-01-22,0.266666666666667,0.05,0.1875,0,0,1117
Doctor Islets,slice,2015-02-15,2.66666666666667,0.0666666666666667,0.025,0,0,1871
Doctor Islets,slice,2016-05-22,2.41666666666667,0.45,0.186206896551724,0,0,2333
Doctor Islets,slice,2017-02-11,2.14166666666667,0.158333333333333,0.0739299610894939,1,0,2598
Doctor Islets,slice,2019-02-26,0.6,0.0590909090909091,0.0984848484848485,0,0,3343
Glacier Falls,slice,2010-06-01,0.985714285714286,0.483333333333333,0.490338164251207,1,0,151
Glacier Falls,slice,2011-12-28,1.56666666666667,0.0367647058823529,0.0234668335419273,0,0,726
Glacier Falls,slice,2014-01-19,3.275,0.00833333333333333,0.00254452926208651,0,0,1479
Glacier Falls,slice,2015-06-06,2.10833333333333,0.2,0.0948616600790515,0,0,1982
Glacier Falls,slice,2016-02-18,1.675,0.263257575757576,0.157168701944821,1,0,2239
